barcode,barcode_apostrophe,CatNo,Artist,Title,ReleaseDate,LabelCode,DeletionType,StockOnHand,StockAllocated,StockFaulty,StockConsignment,BackorderTotal,FormatCode,Units,UKDealer,Sales_ThisWeek,Sales_LastWeek,Sales_ThisMonth,Sales_LastMonth,Sales_2MonthsAgo,Sales_3MonthsAgo,Sales_ThisYear,Sales_LastYear,Sales_AllTime,ManufacturedInternally,LabelName,SubLabelName,DeletedDate,OnOrder,Variant
8.81034E+11,'881034153197,IDAHO264CD,NERINA PALLOT,SOUND AND,03/09/2015,IDAR,,631,0,0,0,0,CD,1,5.55,0,0,0,2,2,1,16,19,589,No,IDAHO RECORDS,,29/11/2024,0,
8.81034E+11,'881034153180,IDAHO264V,NERINA PALLOT,SOUND AND,03/09/2015,IDAR,,0,0,0,48,0,LP,1,8.99,0,0,0,0,0,0,0,0,95,No,IDAHO RECORDS,,29/11/2024,0,
8.81034E+11,'881034136145,IDAHO268CD,NERINA PALLOT,STAY LUCKY,13/10/2017,IDAR,,390,0,0,2,0,CD,1,5.55,0,0,0,51,1,1,66,50,4181,No,IDAHO RECORDS,,29/11/2024,0,
8.81034E+11,'881034136237,IDAHO268LP,NERINA PALLOT,STAY LUCKY,13/10/2017,IDAR,,679,0,0,0,0,LP,1,8.99,0,1,0,2,4,0,24,36,872,No,IDAHO RECORDS,,29/11/2024,0,
5.06052E+12,'5060516092642,EBTG009V,EVERYTHING BUT THE GIRL,AMPLIFIED HEART,05/07/2019,BFRL,,747,5,12,126,0,LP,1,15.99,34,17,50,73,59,84,800,862,13250,No,BUZZIN FLY RECORDS LTD,,,0,
5.06052E+12,'5060516092659,EBTG010V,EVERYTHING BUT THE GIRL,WALKING WOUNDED,08/11/2019,BFRL,,289,5,6,247,0,LP,1,15.99,9,34,20,131,6,23,825,480,13172,No,BUZZIN FLY RECORDS LTD,,,0,
5.06052E+12,'5060516092666,EBTG011V,EVERYTHING BUT THE GIRL,TEMPERAMENTAL,08/05/2020,BFRL,,907,0,1,84,0,LP,2,16.99,11,2,13,17,17,11,232,330,5936,No,BUZZIN FLY RECORDS LTD,,,0,
5.06052E+12,'5060516095865,EBTG001V,EVERYTHING BUT THE GIRL,EDEN,17/09/2021,BFRL,,844,18,4,685,0,LP,1,15.99,10,2,11,42,15,18,235,273,4497,No,BUZZIN FLY RECORDS LTD,,,0,
5.06052E+12,'5060516096169,CDLTTH5002,THE SELECTER,DELETED - TOO MUCH PRESSURE [4,23/04/2021,TWOT,2,0,0,2,3,0,LP,1,17.99,0,0,0,0,0,0,9,78,1398,No,TWO TONE RECORDS,,06/10/2023,0,
5.06052E+12,'5060516096176,CDLTTX5002,THE SELECTER,TOO MUCH PRESSURE [DELUXE EDIT,23/04/2021,TWOT,,153,3,0,199,0,CD3,3,11.99,5,4,8,49,38,38,443,446,2004,No,TWO TONE RECORDS,,,0,Clamshell box w/ 20pg Booklet
5.06052E+12,'5060516095506,CRVX1383,STEVE HARLEY & COCKNEY REBEL,THE BEST YEARS OF OUR LIVES [4,16/04/2021,CHRR,,467,1,6,292,0,LP2,2,20.99,4,0,4,6,9,7,67,127,290,No,CHRYSALIS RECORDS,,,0,Coloured LP (Blue & Orange)
5.06052E+12,'5060516090037,CRC1004,FUN LOVIN CRIMINALS,LOCO,07/04/2021,CHRR,,526,0,0,2,0,CD,1,7.99,0,0,0,20,0,0,24,11,62,No,CHRYSALIS RECORDS,,,0,
5.06052E+12,'5060516095698,CHRTTH5003,THE SPECIALS,MORE SPECIALS [40TH ANNIVERSAR,20/11/2020,TWOT,,238,23,28,210,0,LP2,2,18.99,7,6,12,63,43,45,430,615,1532,Yes,TWO TONE RECORDS,,,0,
5.06052E+12,'5060516094080,CRVX1285,UFO,STRANGERS IN THE NIGHT,20/11/2020,CHRR,,0,26,15,11,2,LP2,2,18.99,1,0,1,12,18,10,245,342,1291,No,CHRYSALIS RECORDS,,,0,Clear LP in Gatefold sleeve
5.06052E+12,'5060516095889,CRBV1285,UFO,STRANGERS IN THE NIGHT [2020 R,20/11/2020,CHRR,,0,1,0,6,0,LP2,2,20.99,0,0,0,1,3,2,47,347,646,No,CHRYSALIS RECORDS,,,0,
5.06052E+12,'5060516094073,CRB1285,UFO,STRANGERS IN THE NIGHT [DELUXE,20/11/2020,CHRR,,0,2,1,4,0,CD8,8,26.99,0,0,0,2,0,0,266,279,1845,No,CHRYSALIS RECORDS,,,0,
5.06052E+12,'5060516094943,CHRB1296,ULTRAVOX,DELETED - VIENNA [DELUXE EDITI,09/10/2020,CHRR,2,0,0,1,5,0,CD6,6,38.99,0,0,0,0,0,0,48,289,1052,No,CHRYSALIS RECORDS,,06/10/2023,0,Booklet & print cards included
5.06052E+12,'5060516095032,CHRH1296,ULTRAVOX,VIENNA [HALF-SPEED MASTER],09/10/2020,CHRR,,0,0,5,13,1,LP2,2,18.99,0,0,0,4,15,5,420,220,1667,No,CHRYSALIS RECORDS,,,0,
5.06052E+12,'5060516094127,CHRTTH5007,VARIOUS ARTISTS,THIS ARE TWO TONE [HALF SPEED,26/09/2020,TWOT,,358,1,1,11,0,LP,1,15.99,4,5,9,49,25,14,262,364,1235,No,TWO TONE RECORDS,,,0,Half Speed Master
5.06052E+12,'5060516094134,CHRTTH5004,VARIOUS ARTISTS,DELETED - DANCE CRAZE [HALF SP,26/09/2020,TWOT,4,0,0,0,12,0,LP,1,14.99,0,0,0,0,0,0,0,0,60,No,TWO TONE RECORDS,,31/03/2023,0,Half Speed Master
1.92642E+11,'192641820687,IDAHO284CD,NERINA PALLOT,I DONT KNO,17/06/2022,IDAR,,98,0,0,37,0,CD,1,7.9,0,0,0,5,1,4,43,48,1068,No,IDAHO RECORDS,,29/11/2024,0,
1.92642E+11,'192641820670,IDAHO284C,NERINA PALLOT,I DONT KNO,17/06/2022,IDAR,,75,0,0,0,0,MC,1,6.49,0,0,0,0,0,0,0,1,29,No,IDAHO RECORDS,,29/11/2024,0,Cassette
5.06052E+12,'5060516093687,CHRTT5016,VARIOUS ARTISTS,TWO TONE THE ALBUMS,04/09/2020,TWOT,,1414,0,0,10,0,CD8,8,26.99,2,0,2,10,5,10,51,177,273,No,TWO TONE RECORDS,,,0,
5.06052E+12,'5060516094066,CRV1284,MIDGE URE,SOUNDTRACK THE SINGLES 1982-1,17/01/2020,CHRR,,576,0,16,22,0,LP,1,16.99,2,0,2,4,1,4,41,54,276,No,CHRYSALIS RECORDS,,,0,Clear LP - Limited edition
5.06052E+12,'5060516091409,CRC1085,THE WATERBOYS,A PAGAN PLACE,01/12/2019,CHRR,,0,1,0,2,0,CD,1,7.99,0,0,0,0,1,1,6,242,614,No,CHRYSALIS RECORDS,,,0,
5.06052E+12,'5060516093694,CHRTT5015X,VARIOUS ARTISTS,DELETED - TWO TONE 7 TREASURES,15/11/2019,TWOT,4,0,0,0,3,0,BXSET,12,65.99,0,0,0,0,0,0,0,2,42,No,TWO TONE RECORDS,,15/05/2024,0,Includes Slipmats and art cards
5.06052E+12,'5060516093700,CRB1271X,UFO,PHENOMENON [DELUXE EDITION],25/10/2019,CHRR,,395,68,0,58,0,CD2,2,9.99,6,26,19,131,0,0,151,22,1231,No,CHRYSALIS RECORDS,,,0,O-Card included
5.06052E+12,'5060516094011,CDLTTH5001X,THE SPECIALS,SPECIALS [40TH ANNIVERSARY HAL,11/10/2019,TWOT,,0,2,7,13,41,LP2,2,18.99,0,0,0,1,2,4,763,2358,4964,No,TWO TONE RECORDS,,,0,Half Speed Master
5.06052E+12,'5060516093748,CRVX1271X,UFO,PHENOMENON [DELUXE EDITION],11/10/2019,CHRR,,0,0,2,6,0,LP2,2,18.99,0,0,0,0,0,0,4,276,465,No,CHRYSALIS RECORDS,,,0,
